Setup title,SOICMOS-INV-nMOS-IdVd
1.38,3.01592E-06,0.5,-3.02035E-06,-3.57E-13
1.44,3.05633E-06,0.5,-3.06201E-06,-3.15E-13
1.5,3.10035E-06,0.5,-3.10466E-06,-3.8E-13
1.56,3.14256E-06,0.5,-3.14856E-06,-3.7E-13
1.62,3.1882E-06,0.5,-3.19476E-06,-4.13E-13
1.68,3.23334E-06,0.5,-3.23944E-06,-3.27E-13
1.74,3.28107E-06,0.5,-3.28726E-06,-5.81E-13
1.8,3.32823E-06,0.5,-3.33469E-06,-3.81E-13
1.86,3.37562E-06,0.5,-3.38264E-06,-4.84E-13
1.92,3.42699E-06,0.5,-3.4338E-06,-4.81E-13
1.98,3.47791E-06,0.5,-3.48524E-06,-5.3E-13
2.04,3.53231E-06,0.5,-3.53949E-06,-5.61E-13
2.1,3.58761E-06,0.5,-3.596E-06,-5.39E-13
2.16,3.64631E-06,0.5,-3.65442E-06,-6.26E-13
2.22,3.70678E-06,0.5,-3.7158E-06,-7.16E-13
2.28,3.76938E-06,0.5,-3.77944E-06,-7.9E-13
2.34,3.83557E-06,0.5,-3.84539E-06,-7.99E-13
2.4,3.90563E-06,0.5,-3.91766E-06,-8.43E-13
2.46,3.97977E-06,0.5,-3.99236E-06,-9.16E-13
2.52,4.05967E-06,0.5,-4.07189E-06,-9.93E-13
2.58,4.14184E-06,0.5,-4.15551E-06,-1.013E-12
2.64,4.23082E-06,0.5,-4.24374E-06,-1.11E-12
2.7,4.32469E-06,0.5,-4.33986E-06,-1.225E-12
2.76,4.42423E-06,0.5,-4.44023E-06,-1.36E-12
2.82,4.52953E-06,0.5,-4.54583E-06,-1.529E-12
2.88,4.63998E-06,0.5,-4.65809E-06,-1.698E-12
2.94,4.75682E-06,0.5,-4.77551E-06,-1.836E-12
3,4.88043E-06,0.5,-4.89908E-06,-2.094E-12
0,-2.89743E-08,1,2.72408E-08,3.004E-12
0.06,1.29519E-05,1,-1.29474E-05,1.952E-12
0.12,2.40224E-05,1,-2.40214E-05,1.514E-12
0.18,3.33789E-05,1,-3.33769E-05,1.275E-12
0.24,4.10774E-05,1,-4.10785E-05,1.052E-12
0.3,4.73112E-05,1,-4.73142E-05,8.96E-13
0.36,5.21841E-05,1,-5.21908E-05,7.31E-13
0.42,5.59089E-05,1,-5.59128E-05,6.32E-13
0.48,5.86317E-05,1,-5.86407E-05,5.15E-13
0.54,6.05759E-05,1,-6.05909E-05,4.53E-13
0.6,6.19266E-05,1,-6.19419E-05,3.76E-13
0.66,6.28873E-05,1,-6.29022E-05,3.14E-13
0.72,6.35837E-05,1,-6.35957E-05,3.41E-13
0.78,6.41123E-05,1,-6.41286E-05,1.96E-13
0.84,6.45464E-05,1,-6.45606E-05,2.46E-13
0.9,6.49192E-05,1,-6.49444E-05,1.28E-13
0.96,6.52577E-05,1,-6.52754E-05,9.6E-14
1.02,6.55709E-05,1,-6.55886E-05,2.3E-14
1.08,6.58679E-05,1,-6.58809E-05,2E-15
1.14,6.61621E-05,1,-6.61784E-05,-1E-15
1.2,6.64485E-05,1,-6.64655E-05,-8.2E-14
1.26,6.67158E-05,1,-6.67378E-05,2.8E-14
1.32,6.69877E-05,1,-6.70026E-05,-5.2E-14
1.38,6.72557E-05,1,-6.72749E-05,-1.16E-13
1.44,6.75185E-05,1,-6.7545E-05,-1.11E-13
1.5,6.77946E-05,1,-6.78127E-05,-1.08E-13
1.56,6.80435E-05,1,-6.80653E-05,-2.66E-13
1.62,6.83044E-05,1,-6.83271E-05,-1.52E-13
1.68,6.85769E-05,1,-6.86009E-05,-1.26E-13
1.74,6.88567E-05,1,-6.8874E-05,-2.89E-13
1.8,6.91269E-05,1,-6.91529E-05,-1.97E-13
1.86,6.94082E-05,1,-6.94292E-05,-4.15E-13
1.92,6.96949E-05,1,-6.97181E-05,-2.29E-13
1.98,6.99847E-05,1,-7.00106E-05,-1.86E-13
2.04,7.02709E-05,1,-7.02995E-05,-2.95E-13
2.1,7.05647E-05,1,-7.05878E-05,-3.61E-13
2.16,7.08491E-05,1,-7.08764E-05,-2.64E-13
2.22,7.11523E-05,1,-7.11732E-05,-3.72E-13
2.28,7.14448E-05,1,-7.14745E-05,-4.03E-13
2.34,7.17547E-05,1,-7.17872E-05,-5.05E-13
2.4,7.20625E-05,1,-7.20946E-05,-4.8E-13
2.46,7.23867E-05,1,-7.24267E-05,-4.75E-13
2.52,7.27286E-05,1,-7.27659E-05,-4.59E-13
2.58,7.30747E-05,1,-7.31167E-05,-5.38E-13
2.64,7.34425E-05,1,-7.34873E-05,-5.37E-13
2.7,7.38192E-05,1,-7.38724E-05,-6.12E-13
2.76,7.42141E-05,1,-7.42666E-05,-7.82E-13
2.82,7.4634E-05,1,-7.4687E-05,-7.66E-13
2.88,7.5057E-05,1,-7.51247E-05,-7.74E-13
2.94,7.55042E-05,1,-7.55706E-05,-7.79E-13
3,7.59634E-05,1,-7.60318E-05,-8.94E-13
0,-6.33851E-08,1.5,6.33839E-08,3.371E-12
